iter	Passed	Remaining
0	2447	2445205
1	4677	2334121
2	6887	2289001
3	9177	2285113
4	11419	2272561
5	13691	2268297
6	15846	2247994
7	18077	2241620
8	20268	2231761
9	22541	2231654
10	24738	2224203
11	26832	2209220
12	29057	2206164
13	31434	2213853
14	33553	2203330
15	35663	2193335
16	37809	2186297
17	39963	2180226
18	42124	2174936
19	44298	2170622
20	46394	2162890
21	48569	2159122
